Propinsi,Lat,Long
ACEH,4.3685491,97.0253024
SUMATERA UTARA,3.58967,98.6738
SUMATERA BARAT,-0.924759,100.363
RIAU,0.9400084,101.6556177
JAMBI,-1.6395832,102.9436845
SUMATERA SELATAN,-2.9888297,104.756857
BENGKULU,-3.816013243,102.2833464
LAMPUNG,-4.8555039,105.0272986
KEPULAUAN BANGKA BELITUNG,-2.12067,106.113
KEPULAUAN RIAU,1.1061,104.038
DKI JAKARTA,-6.1753936,106.827186
JAWA BARAT,-6.9344694,107.6049539
JAWA TENGAH,-6.9904038,110.4229455
DI YOGYAKARTA,-7.9778384,110.3672257
JAWA TIMUR,-7.2459717,112.7378266
BANTEN,-6.4453801,106.1375586
BALI,-8.6524973,115.2191175
NUSA TENGGARA BARAT,-8.58377,116.107
NUSA TENGGARA TIMUR,-10.1632,123.602
KALIMANTAN BARAT,0.0226903,109.345
KALIMANTAN TENGAH,-2.20741,113.916
KALIMANTAN SELATAN,-3.31875,114.593
KALIMANTAN TIMUR,-0.50178,117.139
KALIMANTAN UTARA,3.30002,117.633
SULAWESI UTARA,1.49006,124.841
SULAWESI TENGAH,-0.895779,119.868
SULAWESI SELATAN,-5.1343,119.412
SULAWESI TENGGARA,-3.99181,122.518
GORONTALO,0.7186174,122.4555927
SULAWESI BARAT,-3.54593,118.961
MALUKU,-3.118837,129.4207759
MALUKU UTARA,0.785233,127.383
PAPUA BARAT,-0.86341,131.254
PAPUA,-2.645407,140.8113427
